url,title,price,area_m2,floor,rooms,location,Típus,Szintek száma,Állapot,scrape_date,Fűtés,Energetikai besorolás,Napelem,Építés éve,Erkély,,Tervezett átadás,Terasz,Átlagos rezsiköltség
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-angyalfold/8651440?page=4&pos=16&cr=263,"Budapest XIII. kerület eladó téglalakás 2 szobás: 59,9 millió Ft",59.9,50.0,50 m²,2.0,"Budapest XIII. kerület, Angyalföld, József Attila tér",Téglalakás,,,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1950,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-loportardulo/8658039?page=4&pos=17&cr=263,"Budapest XIII. kerület eladó téglalakás 3 szobás: 108,8 millió Ft",108.8,56.0,56 m²,3.0,"Budapest XIII. kerület, Lőportárdűlő",Téglalakás,,,2025-08-17,Házközponti fűtés egyedi méréssel,Nem adta meg a hirdető,,2019,,,,24 m²,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-ujlipotvaros/8652792?page=4&pos=18&cr=263,"Budapest XIII. kerület eladó téglalakás 2 szobás: 98,5 millió Ft",98.5,78.0,78 m²,2.0,"Budapest XIII. kerület, Újlipótváros",Téglalakás,,,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1930,,,,,
https://www.zenga.hu/ingatlan/elado-panellakas-budapest-xiii-kerulet-vizafogo/8661809?page=4&pos=19&cr=263,"Budapest XIII. kerület eladó panellakás 3 szobás: 78,9 millió Ft",78.9,59.0,59 m²,3.0,"Budapest XIII. kerület, Vizafogó",Panellakás,,,2025-08-17,Távfűtés egyedi méréssel,Nem adta meg a hirdető,,1975,4 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet/8659805?page=4&pos=20&cr=263,Budapest XIII. kerület eladó téglalakás 4 szobás: 425 millió Ft,425.0,144.0,144 m²,4.0,"Budapest XIII. kerület, Hajóépítő sétány",Téglalakás,,,2025-08-17,Hőszivattyú,Nem adta meg a hirdető,,2022,,,,85 m²,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-loportardulo/8652791?page=5&pos=1&cr=263,"Budapest XIII. kerület eladó téglalakás 2 szobás: 71,9 millió Ft",71.9,37.0,37 m²,2.0,"Budapest XIII. kerület, Lőportárdűlő",Téglalakás,,Új építésű,2025-08-17,Hőszivattyú,Nem adta meg a hirdető,,2025,"5,5 m²",,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-angyalfold/8661159?page=5&pos=2&cr=263,"Budapest XIII. kerület eladó téglalakás 2 szobás: 69,9 millió Ft",69.9,37.0,37 m²,2.0,"Budapest XIII. kerület, Angyalföld",Téglalakás,,Új építésű,2025-08-17,Hőszivattyú,Nem adta meg a hirdető,,2025,"2,9 m²",,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet/8664895?page=5&pos=3&cr=263,Budapest XIII. kerület eladó téglalakás 1 szobás: 66 millió Ft,66.0,40.0,40 m²,1.0,"Budapest XIII. kerület, Göncz Árpád központ",Téglalakás,,Átlagos,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1960,"1,7 m²",,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-ujlipotvaros/8659809?page=5&pos=4&cr=263,"Budapest XIII. kerület eladó téglalakás 2 szobás: 89,9 millió Ft",89.9,58.0,58 m²,2.0,"Budapest XIII. kerület, Újlipótváros",Téglalakás,,,2025-08-17,Távfűtés,Nem adta meg a hirdető,,1963,3 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet/8663340?page=5&pos=5&cr=263,Budapest XIII. kerület eladó téglalakás 4 szobás: 279 millió Ft,279.0,167.0,167 m²,4.0,"Budapest XIII. kerület, Csata utca",Téglalakás,,Újszerű,2025-08-17,Elektromos,Nem adta meg a hirdető,,2008,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet/8655430?page=5&pos=6&cr=263,"Budapest XIII. kerület eladó téglalakás 2 szobás: 35,9 millió Ft",35.9,33.0,33 m²,2.0,Budapest XIII. kerület,Téglalakás,3,Felújítandó,2025-08-17,Elektromos,Nem adta meg a hirdető,,1930,,,,,
